,City ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Temp,Wind Speed,Max Temp
161,801,georgetown,20,MY,1612051043,83,5.4112,100.3354,23.62,3.13,25.0
162,803,sola,75,VU,1612051334,70,-13.8833,167.55,31.0,2.57,31.0
163,804,taybad,100,IR,1612051503,49,34.74,60.7756,10.0,1.45,10.0
164,600,kjollefjord,100,NO,1612051504,95,70.9457,27.3465,-3.75,9.01,-3.75
165,803,mount gambier,75,AU,1612051345,72,-37.8333,140.7667,17.0,4.12,17.0
166,803,poum,52,NC,1612051464,65,-20.2333,164.0167,26.89,4.58,26.89
167,804,qaanaaq,94,GL,1612051260,73,77.484,-69.3632,-20.97,1.52,-20.97
168,804,mersing,98,MY,1612051504,88,2.4312,103.8405,25.0,3.6,25.0
169,800,jos,0,NG,1612051504,28,9.9167,8.9,17.22,2.04,17.22
170,803,cayenne,75,GF,1612051345,89,4.9333,-52.3333,27.0,4.12,27.0
171,803,ola,74,RU,1612051505,81,59.5833,151.2833,-26.19,7.14,-26.19
172,803,hualmay,72,PE,1612051462,74,-11.0964,-77.6139,22.28,4.57,22.28
173,802,maceio,40,BR,1612051336,94,-9.6658,-35.7353,25.0,2.06,25.0
174,803,wanning,59,CN,1612051313,84,18.8003,110.3967,20.54,4.42,20.54
175,804,sindor,100,RU,1612051505,96,62.8629,51.8905,-7.38,4.7,-7.38
176,804,muromtsevo,100,RU,1612051505,92,56.3724,75.2418,-18.85,4.61,-18.85
177,802,san patricio,40,US,1612051291,73,28.017,-97.5169,22.98,9.77,24.0
178,801,paamiut,12,GL,1612051466,89,61.994,-49.6678,-4.24,7.36,-4.24
179,802,bonthe,49,SL,1612051506,84,7.5264,-12.505,25.56,2.67,25.56
180,800,utraula,0,IN,1612051506,69,27.3167,82.4167,5.96,1.13,5.96
181,800,moyale,0,KE,1612051483,27,3.5167,39.0584,20.29,4.65,20.29
182,804,siavonga,100,ZM,1612051506,86,-16.5382,28.7088,23.48,2.42,23.48
183,803,ponta do sol,75,PT,1612051293,74,32.6667,-17.1,12.8,1.34,15.0
184,800,egvekinot,9,RU,1612051302,84,66.3167,-179.1667,-30.78,4.89,-30.78
185,803,mount isa,80,AU,1612051351,28,-20.7333,139.5,35.0,3.09,35.0
186,804,derzhavinsk,100,KZ,1612051319,93,51.1,66.3167,-7.55,2.22,-7.55
187,802,guane,35,CU,1612051507,76,22.2025,-84.0875,19.7,3.32,19.7
188,300,klaksvik,40,FO,1612051264,80,62.2266,-6.589,0.0,10.29,0.0
189,800,chakwal,0,PK,1612051280,51,32.9334,72.8585,6.63,1.04,6.63
190,600,mehamn,100,NO,1612051332,96,71.0357,27.8492,-3.86,9.85,-3.86
191,802,kudahuvadhoo,45,MV,1612051507,77,2.6708,72.8944,27.26,6.14,27.26
192,801,storforshei,22,NO,1612051507,80,66.4043,14.5233,-15.56,1.34,-15.56
193,803,luanda,75,AO,1612051508,78,-8.8368,13.2343,27.0,2.57,27.0
194,804,mnogovershinnyy,100,RU,1612051508,90,53.9353,139.9242,-23.14,2.39,-23.14
195,801,saryg-sep,12,RU,1612051508,84,51.5,95.6,-24.12,0.88,-24.12
196,804,namatanai,100,PG,1612051291,68,-3.6667,152.4333,28.9,5.75,28.9
197,804,finnsnes,100,NO,1612051508,84,69.2296,17.9811,-19.0,1.44,-19.0
198,800,ulaangom,0,MN,1612051508,84,49.9811,92.0667,-21.41,0.37,-21.41
199,804,eureka,90,US,1612051508,87,40.8021,-124.1637,11.88,1.54,12.22
200,802,fare,50,PF,1612051297,69,-16.7,-151.0167,27.55,2.43,27.55
201,803,blankenberge,79,BE,1612051509,78,51.3131,3.1323,0.56,2.68,0.56
202,501,novikovo,100,RU,1612051509,97,51.1537,37.8879,1.92,9.47,1.92
203,801,walvis bay,18,NA,1612051359,77,-22.9575,14.5053,19.49,2.06,20.0
204,804,daru,100,PG,1612051509,88,-9.0763,143.2092,25.0,6.48,25.0
205,600,college,90,US,1612051509,77,64.8569,-147.8028,-20.55,0.42,-20.0
206,800,puerto palomas,1,MX,1612051510,33,31.7667,-107.6167,13.0,5.66,13.0
207,804,pundaguitan,100,PH,1612051510,76,6.3711,126.1689,26.86,6.47,26.86
208,800,zhob,10,PK,1612051293,50,31.3411,69.4481,6.9,1.11,6.9
209,804,iskateley,99,RU,1612051510,93,67.6803,53.1512,-16.41,5.25,-16.41
