,City ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Temp,Wind Speed,Max Temp
71,800,hervey bay,10,AU,1611965547,68,-25.2986,152.8535,27.78,2.68,27.78
72,804,lebu,96,CL,1611965547,91,-37.6167,-73.65,14.29,1.97,14.29
73,800,mar del plata,0,AR,1611965358,73,-38.0023,-57.5575,20.82,1.54,21.0
74,800,atar,0,MR,1611965547,24,20.5169,-13.0499,19.81,4.54,19.81
75,803,fortuna,75,US,1611965548,71,40.5982,-124.1573,10.74,3.09,11.67
76,804,chumikan,100,RU,1611965548,88,54.7183,135.315,-25.34,5.02,-25.34
77,804,pinega,100,RU,1611965548,95,64.7001,43.3936,-10.57,4.04,-10.57
78,800,taoudenni,0,ML,1611965548,23,22.6783,-3.9836,21.25,5.52,21.25
79,802,mogadishu,25,SO,1611965549,80,2.0371,45.3438,23.84,8.71,23.84
80,804,husavik,90,IS,1611965549,86,66.0449,-17.3389,-1.0,1.54,-1.0
81,804,codrington,100,AU,1611965549,75,-38.2667,141.9667,16.6,4.62,16.6
82,800,adrar,0,MR,1611965549,24,20.5022,-10.0711,18.86,4.53,18.86
83,601,nikolskoye,75,RU,1611965549,93,59.7035,30.7861,-0.37,4.0,0.0
84,803,bluff,66,NZ,1611965550,69,-46.6,168.3333,12.38,3.19,12.38
85,804,daru,100,PG,1611965409,83,-9.0763,143.2092,25.99,6.11,25.99
86,802,isangel,40,VU,1611965550,66,-19.55,169.2667,30.0,4.12,30.0
87,804,verkhneyarkeyevo,100,RU,1611965550,97,55.4505,54.3145,-4.0,4.5,-4.0
88,802,axim,50,GH,1611965550,85,4.8699,-2.2405,25.64,1.16,25.64
89,803,narsaq,75,GL,1611965550,29,60.9167,-46.05,7.0,10.29,7.0
90,804,port augusta,90,AU,1611965550,68,-32.5,137.7667,21.86,6.17,22.22
91,800,namie,0,JP,1611965551,44,37.4833,141.0,2.22,0.45,2.22
92,804,tual,100,ID,1611965551,74,-5.6667,132.75,28.87,7.07,28.87
93,801,brae,20,GB,1611965551,75,60.3964,-1.353,1.0,4.63,1.0
94,804,coquimbo,90,CL,1611964996,88,-29.9533,-71.3436,17.0,3.09,17.0
95,803,choix,84,MX,1611965551,37,26.7092,-108.3219,25.56,1.16,25.56
96,800,mao,0,ES,1611965551,94,39.8885,4.2658,12.0,1.54,12.0
97,803,komsomolskiy,51,UZ,1611965551,55,40.4272,71.7189,-1.0,2.06,-1.0
98,802,palmer,40,US,1611965552,48,42.1584,-72.3287,-9.92,6.17,-9.44
99,800,wamba,0,NG,1611965552,20,8.9333,8.6,23.73,2.23,23.73
100,600,jamestown,90,US,1611965552,86,42.097,-79.2353,-6.58,5.14,-5.56
101,600,olafsvik,100,IS,1611965552,98,64.8945,-23.7142,-0.13,3.66,-0.13
102,804,sebrovo,100,RU,1611965553,92,50.0981,43.2976,0.77,7.9,0.77
