,City ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Temp,Wind Speed
78,800,maniitsoq,0,GL,1611952812,75,65.4167,-52.9,-5.11,2.23
79,801,nouakchott,15,MR,1611953089,43,18.0858,-15.9785,23.0,4.12
80,803,los llanos de aridane,75,ES,1611953260,94,28.6585,-17.9182,18.87,3.09
81,500,mahebourg,75,MU,1611953238,78,-20.4081,57.7,27.0,5.14
82,803,hithadhoo,56,MV,1611953235,76,-0.6,73.0833,27.43,4.31
83,804,kataysk,93,RU,1611953373,94,56.289,62.5841,-13.67,4.02
84,804,bredasdorp,90,ZA,1611953233,74,-34.5322,20.0403,20.08,1.76
85,803,backo gradiste,75,RS,1611953374,100,45.5328,20.0283,7.0,3.6
86,500,lucapa,77,AO,1611953374,94,-8.4192,20.7447,18.99,0.4
87,800,cabo san lucas,1,MX,1611953249,60,22.8909,-109.9124,26.65,7.72
88,600,nantucket,90,US,1611953374,67,41.2835,-70.0995,-8.95,10.8
89,800,nanpiao,5,CN,1611953222,84,41.0982,120.7479,-8.11,2.95
90,801,east london,11,ZA,1611953251,64,-33.0153,27.9116,22.19,0.52
91,800,khatanga,0,RU,1611953216,73,71.9667,102.5,-42.63,0.92
92,800,port alfred,1,ZA,1611953233,87,-33.5906,26.891,18.33,0.89
93,804,dikson,100,RU,1611953230,85,73.5069,80.5464,-35.07,2.7
94,802,sioux lookout,40,CA,1611953375,67,50.1001,-91.917,-10.0,2.57
95,804,makakilo city,90,US,1611952854,69,21.3469,-158.0858,22.8,3.6
96,800,vidalia,1,US,1611953375,28,32.2177,-82.4135,13.0,1.49
97,804,kamenka,88,RU,1611952827,92,51.3223,42.7678,0.0,7.32
98,803,salalah,75,OM,1611953242,64,17.0151,54.0924,23.0,3.6
99,800,chitral,2,PK,1611953375,47,35.8462,71.7858,-2.53,3.08
100,300,torbay,90,CA,1611952990,93,47.6666,-52.7314,-3.32,9.26
101,804,tual,100,ID,1611952819,75,-5.6667,132.75,28.41,6.13
102,800,victoria,0,HK,1611953197,71,22.2855,114.1577,14.11,0.45
103,800,sivas,0,TR,1611953221,85,39.7916,37.0019,-12.0,2.06
104,804,ostrovnoy,100,RU,1611953230,93,68.0531,39.5131,-13.54,7.96
105,803,naze,53,JP,1611953072,74,28.3667,129.4833,9.58,6.2
106,802,tomatlan,50,MX,1611952828,21,19.9333,-105.25,36.75,3.91
107,803,ciudad bolivar,62,VE,1611953376,43,8.1222,-63.5497,31.68,5.18
108,802,hobart,40,AU,1611953192,94,-42.8794,147.3294,15.75,2.57
109,600,chapais,90,CA,1611953376,78,49.7834,-74.8492,-17.0,5.14
110,501,hilo,90,US,1611953234,83,19.7297,-155.09,19.74,2.12
111,801,kavaratti,11,IN,1611953377,72,10.5669,72.642,26.84,4.01
112,800,santa fe,7,AR,1611953101,31,-31.6333,-60.7,32.83,0.93
113,804,carutapera,100,BR,1611953377,75,-1.195,-46.02,27.36,4.42
114,804,provideniya,93,RU,1611952806,82,64.3833,-173.3,-22.44,3.75
115,804,chagoda,97,RU,1611953377,97,59.164,35.3285,-4.01,3.42
116,804,camacupa,98,AO,1611953377,89,-12.0167,17.4833,17.8,1.68
117,800,talnakh,1,RU,1611953283,67,69.4865,88.3972,-35.52,0.64
118,804,barrow,90,US,1611953239,70,71.2906,-156.7887,-24.0,4.63
119,800,tias,0,ES,1611953377,94,28.9611,-13.645,19.0,2.06
120,800,westport,1,US,1611953293,42,41.1415,-73.3579,-6.17,10.29
121,500,lasa,75,IT,1611953274,86,46.6166,10.7002,-0.01,1.03
122,804,codrington,100,AU,1611953267,81,-38.2667,141.9667,15.81,5.2
123,800,kalanwali,0,IN,1611953378,47,29.85,74.95,8.2,0.89
124,800,saint-augustin,0,CA,1611953267,91,51.226,-58.6502,-8.24,5.6
125,804,butaritari,93,KI,1611953242,75,3.0707,172.7902,27.0,8.33
126,800,tazovskiy,0,RU,1611952839,79,67.4667,78.7,-38.61,2.86
127,803,baruun-urt,68,MN,1611952845,84,46.6806,113.2792,-23.19,1.81
128,800,half moon bay,1,US,1611953196,76,37.4636,-122.4286,11.1,2.57
129,803,saint-francois,75,FR,1611953379,76,46.4154,3.9054,8.95,3.09
130,801,hasaki,20,JP,1611953244,51,35.7333,140.8333,0.22,4.12
131,800,safaga,0,EG,1611952811,52,26.7292,33.9365,15.67,5.9
132,800,dothan,1,US,1611953325,27,31.2232,-85.3905,15.29,2.57
133,501,soe,100,ID,1611953379,96,-9.8607,124.284,19.55,1.75
134,804,ukiah,90,US,1611953257,71,39.1502,-123.2078,8.67,1.52
135,501,kroya,100,ID,1611953355,89,-7.6331,109.2461,24.04,1.45
136,600,sharkan,100,RU,1611953379,86,57.2989,53.8712,-3.33,0.89
137,800,surt,0,LY,1611953379,48,31.2089,16.5887,18.42,6.14
138,500,kavieng,94,PG,1611953380,82,-2.5744,150.7967,28.23,6.58
139,801,yellowknife,20,CA,1611953006,76,62.456,-114.3525,-26.57,3.6
140,804,baherden,93,TM,1611953380,41,38.4362,57.4316,11.51,1.64
141,803,acapulco,75,MX,1611953139,66,16.8634,-99.8901,30.0,5.66
142,803,raga,52,SS,1611953380,18,8.4596,25.678,24.11,3.37
143,803,ponta do sol,68,PT,1611953246,75,32.6667,-17.1,13.04,2.24
